flag,href,name,proven,source,target
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/RayleighExponential.pdf,RayleighExponential,,Rayleigh,Exponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformGompertz.pdf,StandarduniformGompertz,,Standarduniform,Gompertz
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformBenford.pdf,StandarduniformBenford,,Standarduniform,Benford
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/InversegaussianChisquare.pdf,InversegaussianChisquare,False,Inversegaussian,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BinomialBetabinomial.pdf,BinomialBetabinomial,,Binomial,Betabinomial
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PowerseriesPascal.pdf,PowerseriesPascal,,Powerseries,Pascal
B,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ExponentialChisquareB.pdf,ExponentialChisquareB,,Exponential,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/MakehamGompertz.pdf,MakehamGompertz,,Makeham,Gompertz
T,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformStandardpowerT.pdf,StandarduniformStandardpowerT,,Standarduniform,Standardpower
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PoissonGammapoisson.pdf,PoissonGammapoisson,,Poisson,Gammapoisson
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardpowerStandarduniform.pdf,StandardpowerStandarduniform,,Standardpower,Standarduniform
B,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NormalStandardnormalB.pdf,NormalStandardnormalB,,Normal,Standardnormal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ExponentialLaplace.pdf,ExponentialLaplace,,Exponential,Laplace
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ZipfZeta.pdf,ZipfZeta,,Zipf,Zeta
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/InversegaussianStandardnormal.pdf,InversegaussianStandardnormal,False,Inversegaussian,Standardnormal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GammaInvertedgamma.pdf,GammaInvertedgamma,,Gamma,Invertedgamma
T,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GammaChisquareT.pdf,GammaChisquareT,,Gamma,Chisquare
B,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformStandardpowerB.pdf,StandarduniformStandardpowerB,,Standarduniform,Standardpower
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/HypergeometricBinomial.pdf,HypergeometricBinomial,,Hypergeometric,Binomial
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformLogisticexponential.pdf,StandarduniformLogisticexponential,,Standarduniform,Logisticexponential
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TriangularStandardtriangular.pdf,TriangularStandardtriangular,,Triangular,Standardtriangular
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/GeometricPascal.pdf,GeometricPascal,,Geometric,Pascal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandardnormalChi.pdf,StandardnormalChi,,Standardnormal,Chi
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/TSPUniform.pdf,TSPUniform,,TSP,Uniform
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/IDBExponential.pdf,IDBExponential,,IDB,Exponential
T,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ExponentialChisquareT.pdf,ExponentialChisquareT,,Exponential,Chisquare
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformUniform.pdf,StandarduniformUniform,,Standarduniform,Uniform
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/StandarduniformPareto.pdf,StandarduniformPareto,,Standarduniform,Pareto
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/NoncentralbetaBeta.pdf,NoncentralbetaBeta,,Noncentralbeta,Beta
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PascalNormal.pdf,PascalNormal,,Pascal,Normal
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/IDBRayleigh.pdf,IDBRayleigh,,IDB,Rayleigh
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/PascalPoisson.pdf,PascalPoisson,False,Pascal,Poisson
,http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ExponentialRayleigh.pdf,ExponentialRayleigh,,Exponential,Rayleigh
