href,source,flag,name,target
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BernoulliBinomial.pdf,Bernoulli,,BernoulliBinomial,Binomial
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetaArcsin.pdf,Beta,,BetaArcsin,Arcsin
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetaInvertedbeta.pdf,Beta,,BetaInvertedbeta,Invertedbeta
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetaNormal.pdf,Beta,,BetaNormal,Normal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetaStandarduniform.pdf,Beta,,BetaStandarduniform,Standarduniform
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetabinomialNegativehypergeometric.pdf,Betabinomial,,BetabinomialNegativehypergeometric,Negativehypergeometric
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BetabinomialRectangular.pdf,Betabinomial,,BetabinomialRectangular,Rectangular
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BinomialBernoulli.pdf,Binomial,,BinomialBernoulli,Bernoulli
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BinomialBetabinomial.pdf,Binomial,,BinomialBetabinomial,Betabinomial
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BinomialNormal.pdf,Binomial,,BinomialNormal,Normal
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/BinomialPoisson.pdf,Binomial,,BinomialPoisson,Poisson
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/CauchyArctangent.pdf,Cauchy,,CauchyArctangent,Arctangent
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/CauchyStandardcauchy.pdf,Cauchy,,CauchyStandardcauchy,Standardcauchy
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ChisquareChi.pdf,Chisquare,,ChisquareChi,Chi
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ChisquareErlang.pdf,Chisquare,,ChisquareErlang,Erlang
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ChisquareExponential.pdf,Chisquare,,ChisquareExponential,Exponential
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ChisquareF.pdf,Chisquare,,ChisquareF,F
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/DiscreteuniformRectangular.pdf,Discreteuniform,,DiscreteuniformRectangular,Rectangular
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/DiscreteweibullGeometric.pdf,Discreteweibull,,DiscreteweibullGeometric,Geometric
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/DoublynoncentralfNoncentralf.pdf,Doublynoncentralf,,DoublynoncentralfNoncentralf,Noncentralf
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/DoublynoncentraltNoncentralt.pdf,Doublynoncentralt,,DoublynoncentraltNonentralt,Nonentralt
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ErlangChisquareB.pdf,Erlang,B,ErlangChisquareB,Chisquare
http://www.math.wm.edu/~leemis/chart/UDR/PDFs/ErlangChisquareT.pdf,Erlang,T,ErlangChisquareT,Chisquare
